"index","country_name","country_code","indicator_name","indicator_code","debt"
"0","Afghanistan","AFG","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","72894453.7"
"1","Afghanistan","AFG","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","53239440.1"
"2","Afghanistan","AFG","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","61739336.9"
"3","Afghanistan","AFG","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","49114729.4"
"4","Afghanistan","AFG","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","39903620.1"
"5","Afghanistan","AFG","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","39107845"
"6","Afghanistan","AFG","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","23779724.3"
"7","Afghanistan","AFG","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","13335820"
"8","Afghanistan","AFG","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","100847181.9"
"9","Afghanistan","AFG","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","72894453.7"
"10","Afghanistan","AFG","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","53239440.1"
"11","Afghanistan","AFG","Principal repayments on external debt, long-term (AMT, current US$)","DT.AMT.DLXF.CD","100847181.9"
"12","Albania","ALB","Disbursements on external debt, long-term (DIS, current US$)","DT.DIS.DLXF.CD","317194512.5"
"13","Albania","ALB","Interest payments on external debt, long-term (INT, current US$)","DT.INT.DLXF.CD","165602386.9"
"14","Albania","ALB","Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)","DT.INT.DPNG.CD","87884000"
"15","Albania","ALB","PPG, bilateral (AMT, current US$)","DT.AMT.BLAT.CD","54250280.6"
"16","Albania","ALB","PPG, bilateral (DIS, current US$)","DT.DIS.BLAT.CD","76050616.09999998"
"17","Albania","ALB","PPG, bilateral (INT, current US$)","DT.INT.BLAT.CD","13847333.6"
"18","Albania","ALB","PPG, bonds (AMT, current US$)","DT.AMT.PBND.CD","0"
"19","Albania","ALB","PPG, bonds (INT, current US$)","DT.INT.PBND.CD","31030688.2"
"20","Albania","ALB","PPG, commercial banks (AMT, current US$)","DT.AMT.PCBK.CD","39445139.5"
"21","Albania","ALB","PPG, commercial banks (DIS, current US$)","DT.DIS.PCBK.CD","4542664.9"
"22","Albania","ALB","PPG, commercial banks (INT, current US$)","DT.INT.PCBK.CD","4618504.3"
"23","Albania","ALB","PPG, multilateral (AMT, current US$)","DT.AMT.MLAT.CD","182197616.7"
"24","Albania","ALB","PPG, multilateral (DIS, current US$)","DT.DIS.MLAT.CD","234321242.3"
"25","Albania","ALB","PPG, multilateral (INT, current US$)","DT.INT.MLAT.CD","28101536.1"
"26","Albania","ALB","PPG, official creditors (AMT, current US$)","DT.AMT.OFFT.CD","236447897.3"
"27","Albania","ALB","PPG, official creditors (DIS, current US$)","DT.DIS.OFFT.CD","310371858.4"
"28","Albania","ALB","PPG, official creditors (INT, current US$)","DT.INT.OFFT.CD","41948869.7"
